,ROC_daily_60
2010-04-30,41.0893
2010-05-31,0
2010-06-30,0.9300
2010-07-30,-0.1783
2010-08-31,12.9891
2010-09-30,12.6248
2010-10-29,6.6580
2010-11-30,3.0004
2010-12-31,7.9254
2011-01-31,11.9796
2011-02-28,9.7678
2011-03-31,10.8606
2011-04-29,9.6922
2011-05-31,16.6810
2011-06-30,7.1256
2011-07-29,4.9178
2011-08-31,1.2516
2011-09-30,-16.9486
2011-10-31,6.0414
2011-11-30,-6.5922
2011-12-30,11.4403
2012-01-31,3.3862
2012-02-29,6.1762
2012-03-30,12.1463
2012-04-30,3.4900
2012-05-31,5.4249
2012-06-29,1.6135
2012-07-31,1.5488
2012-08-31,-0.5814
2012-09-28,-8.1174
2012-10-31,-7.9289
2012-11-30,-7.8763
2012-12-31,-0.1300
2013-01-31,-4.9788
2013-02-28,0.5272
2013-03-29,0
2013-04-30,6.8572
2013-05-31,1.0680
2013-06-28,1.7019
2013-07-31,0.2369
2013-08-30,-7.7426
2013-09-30,-5.9440
2013-10-31,-2.7983
2013-11-29,0.3211
2013-12-31,-0.2004
2014-01-31,5.0756
2014-02-28,14.6106
2014-03-31,12.5153
2014-04-30,9.4150
2014-05-30,6.1107
2014-06-30,8.3024
2014-07-31,6.9794
2014-08-29,6.0566
2014-09-30,-1.7543
2014-10-31,8.6558
2014-11-28,7.5555
2014-12-31,14.7323
2015-01-30,11.1313
2015-02-27,9.7855
2015-03-31,6.7968
2015-04-30,-4.6393
2015-05-29,-2.6093
2015-06-30,-10.5800
2015-07-31,4.0426
2015-08-31,0.4360
2015-09-30,2.1755
2015-10-30,4.1973
2015-11-30,14.1785
2015-12-31,8.5611
2016-01-29,-3.1115
2016-02-29,-7.5563
2016-03-31,5.5788
2016-04-29,1.1261
2016-05-31,-2.4915
2016-06-30,-6.9513
2016-07-29,-2.7424
2016-08-31,1.8773
2016-09-30,-2.1182
2016-10-31,-3.1509
2016-11-30,-2.6509
2016-12-30,5.6422
2017-01-31,0.6344
2017-02-28,5.9399
2017-03-31,-2.4326
2017-04-28,8.6731
2017-05-31,5.1093
2017-06-30,5.2605
2017-07-31,6.4608
2017-08-31,0.8415
2017-09-29,2.3796
2017-10-31,0.7946
2017-11-30,0.1650
2017-12-29,-3.3768
2018-01-31,-7.1104
2018-02-28,-15.1838
2018-03-30,0
2018-04-30,3.2339
2018-05-31,13.5210
2018-06-29,1.4929
2018-07-31,6.2637
2018-08-31,6.5818
2018-09-28,3.7896
2018-10-31,-2.1399
2018-11-30,5.6308
2018-12-31,1.8207
2019-01-31,12.8565
2019-02-28,5.7248
2019-03-29,19.0316
2019-04-30,6.9188
2019-05-31,4.9001
2019-06-28,1.4588
2019-07-31,4.2936
2019-08-30,9.7778
2019-09-30,11.4317
2019-10-31,11.8618
2019-11-29,-0.3838
2019-12-31,-6.8395
2020-01-31,-3.8692
2020-02-28,-9.4291
2020-03-31,-22.7940
2020-04-30,-21.3666
2020-05-29,-24.4478
2020-06-30,9.5002
2020-07-31,-11.2220
2020-08-31,-14.1252
2020-09-30,-9.8068
2020-10-30,-11.3714
2020-11-30,2.1096
2020-12-31,8.5024
2021-01-29,26.2756
2021-02-26,14.0794
2021-03-31,25.6066
2021-04-30,18.6515
2021-05-31,0
2021-06-30,8.3666
2021-07-30,17.8578
2021-08-31,6.6130
2021-09-30,2.4481
2021-10-29,2.8580
2021-11-30,0.4093
2021-12-31,8.7921
2022-01-31,5.5551
2022-02-28,3.8808
2022-03-31,-1.8414
